label,Ss,Sr,q10,q50
"Athabasca, AB",1.5,0.1,0.28,0.36
"Banff, AB",3.6,0.1,0.25,0.32
"Barrhead, AB",1.7,0.1,0.34,0.44
"Beaverlodge, AB",2.4,0.1,0.28,0.36
"Brooks, AB",1.2,0.1,0.4,0.52
"Calgary, AB",1.1,0.1,0.37,0.48
"Campsie, AB",1.7,0.1,0.34,0.44
"Camrose, AB",2,0.1,0.3,0.39
"Canmore, AB",3.5,0.1,0.29,0.37
"Cardston, AB",1.5,0.1,0.56,0.72
"Claresholm, AB",1.3,0.1,0.45,0.58
"Cold Lake, AB",1.7,0.1,0.29,0.38
"Coleman, AB",2.7,0.3,0.48,0.63
"Coronation, AB",2.2,0.1,0.29,0.37
"Cowley, AB",1.6,0.1,0.78,1.01
"Drumheller, AB",1.2,0.1,0.34,0.44
"Edmonton, AB",1.7,0.1,0.35,0.45
"Edson, AB",2.1,0.1,0.36,0.46
"Embarras Portage, AB",1.9,0.1,0.29,0.37
"Fairview, AB",2.6,0.1,0.27,0.35
"Fort MacLeod, AB",1.2,0.1,0.53,0.68
"Fort McMurray, AB",1.4,0.1,0.27,0.35
"Fort Saskatchewan, AB",1.6,0.1,0.33,0.43
"Fort Vermilion, AB",2.1,0.1,0.23,0.3
"Grande Prairie, AB",2.2,0.1,0.33,0.43
"Habay, AB",2.4,0.1,0.23,0.3
"Hardisty, AB",1.7,0.1,0.28,0.36
"High River, AB",1.3,0.1,0.5,0.65
"Hinton, AB",2.9,0.1,0.36,0.46
"Jasper, AB",3.3,0.1,0.25,0.32
"Keg River, AB",2.4,0.1,0.23,0.3
"Lac la Biche, AB",1.6,0.1,0.28,0.36
"Lacombe, AB",2.1,0.1,0.31,0.4
"Lethbridge, AB",1.2,0.1,0.51,0.66
"Manning, AB",2.3,0.1,0.23,0.3
"Medicine Hat, AB",1.1,0.1,0.37,0.48
"Peace River, AB",2.2,0.1,0.25,0.32
"Pincher Creek, AB",1.5,0.1,0.75,0.96
"Ranfurly, AB",1.9,0.1,0.28,0.36
"Red Deer, AB",2,0.1,0.31,0.4
"Rocky Mountain House, AB",1.9,0.1,0.28,0.36
"Slave Lake, AB",1.9,0.1,0.29,0.37
"Stettler, AB",2.2,0.1,0.28,0.36
"Stony Plain, AB",1.7,0.1,0.35,0.45
"Suffield, AB",1.3,0.1,0.38,0.49
"Taber, AB",1.2,0.1,0.48,0.63
"Turner Valley, AB",1.4,0.1,0.5,0.65
"Valleyview, AB",2.3,0.1,0.33,0.42
"Vegreville, AB",1.9,0.1,0.28,0.36
"Vermilion, AB",1.7,0.1,0.28,0.36
"Wagner, AB",1.9,0.1,0.29,0.37
"Wainwright, AB",2,0.1,0.28,0.36
"Wetaskiwin, AB",2,0.1,0.3,0.39
"Whitecourt, AB",1.9,0.1,0.29,0.37
"Wimborne, AB",1.6,0.1,0.31,0.4
"100 Mile House, BC",2.6,0.3,0.27,0.35
"Abbotsford, BC",2,0.3,0.34,0.44
"Agassiz, BC",2.4,0.7,0.36,0.47
"Alberni, BC",3,0.4,0.25,0.32
"Ashcroft, BC",1.7,0.1,0.29,0.38
"Barnfield, BC",1,0.4,0.39,0.5
"Beatton River, BC",3.3,0.1,0.23,0.3
"Bella Bella, BC",2.6,0.8,0.39,0.5
"Bella Coola, BC",5.5,0.8,0.3,0.39
"Burnaby (Simon Fraser Univ.), BC",2.9,0.7,0.36,0.47
"Burns Lake, BC",3.4,0.2,0.3,0.39
"Cache Creek, BC",1.7,0.2,0.3,0.39
"Campbell River, BC",3.3,0.4,0.4,0.52
